Annotation Name,Area (µm^2),Cell Count,Transcript Count
J1-CA-2_CA-1,47297.67,424,0
J1-CA-2_CA-2,37938.05,320,0
J1-CA-2_CA-3,46305.91,571,0
J1-CA-2_CA-4,34204.88,259,0
L1-TA-4_HGD-1,225146.10,1380,0
L1-TA-4_HGD-2,66107.21,667,0
Q1-TA-4_HGD-1,642928.33,6353,0
L1-TA-1_LGD-1,414872.00,4601,0
M1-TA-1_LGD-1,582730.84,6208,0

Annotation Name,Cell ID,Cluster ID,Total Transcripts,Cell Area
J1-CA-2_CA-1,dkiclffp-1,Cluster 12,0,88.10
J1-CA-2_CA-1,maihlaoj-1,Cluster 3,0,62.81
J1-CA-2_CA-1,dkielfjg-1,Cluster 4,0,78.26
J1-CA-2_CA-1,maiheind-1,Cluster 3,0,62.63
J1-CA-2_CA-1,maihefef-1,Cluster 3,0,70.31
J1-CA-2_CA-1,maihgedn-1,Cluster 3,0,81.51
J1-CA-2_CA-1,dkiejngf-1,Cluster 12,0,184.33
J1-CA-2_CA-1,maijbohk-1,Cluster 3,0,53.87
J1-CA-2_CA-1,maihmiep-1,Cluster 3,0,89.18
J1-CA-2_CA-1,maildlel-1,Cluster 6,0,59.29
J1-CA-2_CA-1,mainkjao-1,Cluster 1,0,49.31
J1-CA-2_CA-1,maiikbip-1,Cluster 6,0,39.20
J1-CA-2_CA-1,maiikkkj-1,Cluster 3,0,27.50
J1-CA-2_CA-1,maihfdjg-1,Cluster 1,0,16.93
J1-CA-2_CA-1,mainikbe-1,Cluster 7,0,16.39
J1-CA-2_CA-1,dkiefjgp-1,Cluster 12,0,120.43
J1-CA-2_CA-1,dkifepmo-1,Cluster 4,0,115.01
J1-CA-2_CA-1,mldkdecc-1,Cluster 3,0,49.40
J1-CA-2_CA-1,dkieknil-1,Cluster 5,0,147.62
J1-CA-2_CA-1,dkifnapc-1,Cluster 5,0,80.24
J1-CA-2_CA-1,mainhhco-1,Cluster 3,0,57.26
J1-CA-2_CA-1,maiiokeg-1,Cluster 7,0,52.47
J1-CA-2_CA-1,mldkjfmi-1,Cluster 1,0,48.45
