p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,delta_pct
1.5344824648255023e-115,0.44064554799780264,0.719,0.619,2.7751115376369207e-111,0,SOX4,0.09999999999999998
1.2140889444850718e-110,0.6296746328344212,0.536,0.435,2.1956798561012524e-106,0,EPHB3,0.10100000000000003
1.388014646119673e-110,0.4611123230772156,0.695,0.633,2.5102244875074286e-106,0,TCEA3,0.061999999999999944
8.845799305364792e-108,0.5471102952830103,0.647,0.572,1.5997628043752227e-103,0,ZKSCAN1,0.07500000000000007
3.199179881216454e-107,0.8597889196091613,0.43,0.324,5.785716815179957e-103,0,NEURL1,0.10599999999999998
3.0135213255120236e-105,0.4474849633428206,0.717,0.634,5.4499533171884943e-101,0,SMARCC1,0.08299999999999996
2.2507602415307248e-102,0.38528207269648673,0.725,0.605,4.070499896808316e-98,0,SLC12A2,0.12
8.370192974266098e-102,0.41847884546683267,0.75,0.674,1.5137493993960239e-97,0,MYO6,0.07599999999999996
1.6207574592934876e-100,0.5129144475753429,0.667,0.582,2.9311398651322722e-96,0,AIFM3,0.08500000000000008
1.9970513257950756e-100,0.7696035972716662,0.491,0.398,3.6116673227003944e-96,0,ATOH1,0.09299999999999997
8.587848071573188e-99,0.9419521636063937,0.471,0.369,1.553112323744011e-94,0,ITLN1,0.10199999999999998
1.361518712233689e-98,0.5086106748618838,0.618,0.53,2.4623065910746266e-94,0,MACROD1,0.08799999999999997
1.4152394157484848e-98,0.6454086546622958,0.565,0.502,2.5594604833811347e-94,0,ST6GALNAC1,0.06299999999999994
1.2113367872551836e-94,0.76861879900354,0.366,0.26,2.1907025797509997e-90,0,PRAC1,0.10599999999999998
5.249646301311107e-94,0.997665672140447,0.354,0.258,9.493985335921136e-90,0,RAP1GAP,0.09599999999999997
1.923764882894671e-93,0.7283403004314759,0.559,0.48,3.479128790715012e-89,0,IFI6,0.07900000000000007
4.466920986655377e-93,0.4993544877307057,0.645,0.561,8.07842660436625e-89,0,MYB,0.08399999999999996
2.5012595818467926e-91,0.3229238229133675,0.786,0.717,4.523527953769925e-87,0,SYNE2,0.06900000000000006
7.11161672000654e-91,0.30705834607143956,0.867,0.789,1.2861358838131829e-86,0,HNRNPH3,0.07799999999999996
2.854399399763098e-90,0.2753308598685953,0.905,0.79,5.162181314471563e-86,0,ELF3,0.11499999999999999
5.164576620532319e-90,0.4825702260214393,0.778,0.699,9.340136818232699e-86,0,BDH1,0.07900000000000007
1.0086253950686176e-89,0.37404135724856946,0.729,0.668,1.824099026981595e-85,0,TTC3,0.06099999999999994
3.722539362075454e-89,0.3318187039181977,0.883,0.795,6.732212436313459e-85,0,SERF2,0.08799999999999997
4.741325901954648e-89,0.311252851271802,0.854,0.754,8.574687893684981e-85,0,PYGB,0.09999999999999998
1.8325201039536273e-88,0.7690378215831921,0.507,0.425,3.314112608000135e-84,0,B3GNT6,0.08200000000000002
1.1438821626833956e-87,0.41159279009968897,0.71,0.646,2.068710891212921e-83,0,PHPT1,0.06399999999999995
8.475978619687771e-86,0.5506494107858719,0.601,0.535,1.5328807333705334e-81,0,ICA1,0.06599999999999995
6.610828281198534e-85,0.31869897296432903,0.818,0.752,1.195568294654755e-80,0,GABARAP,0.06599999999999995
3.1273664617093695e-84,0.6573834137058203,0.428,0.334,5.655842246001395e-80,0,KIF12,0.09399999999999997
7.310342603313736e-84,0.399935104941912,0.74,0.677,1.3220754598092892e-79,0,DHX15,0.06299999999999994
1.1236424793058e-83,0.35889851800645856,0.653,0.579,2.0321074238245395e-79,0,SMTN,0.07400000000000007
2.0123205987537658e-80,0.36516596778435906,0.746,0.678,3.639281802846185e-76,0,JUN,0.06799999999999995
2.2180603446737203e-80,0.45726787052282414,0.69,0.625,4.011362133342423e-76,0,SPIRE2,0.06499999999999995
1.0440593592321368e-79,0.32178072784287437,0.802,0.693,1.8881813511713195e-75,0,LRATD1,0.1090000000000001
7.078762285896306e-79,0.33510242074919194,0.745,0.676,1.2801941594043469e-74,0,ASPH,0.06899999999999995
7.871472114697761e-79,0.3313622597503869,0.779,0.712,1.42355573194309e-74,0,CDC42EP5,0.06700000000000006
1.3868194644022647e-78,0.43250808078009384,0.691,0.62,2.5080630013714958e-74,0,ESRP1,0.07099999999999995
4.9136984994589806e-76,0.5702031868045685,0.611,0.569,8.886423736271566e-72,0,MCTP2,0.04200000000000004
1.060832585438362e-74,0.22283080433811175,0.959,0.879,1.9185157307652776e-70,0,TMSB10,0.07999999999999996
1.2142671099186626e-74,0.4488414454394658,0.64,0.587,2.1960020682879012e-70,0,SCNN1A,0.05300000000000005
