gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ST6GAL1,0.009785860603348332,0.24026455763517285,0.433,0.278,1
WFDC1,0.0103680110960544,0.20663064501112327,0.318,0.194,1
NDFIP1,0.010851944621786432,0.20248131665311686,0.786,0.606,1
CNTN3,0.011914098310075925,0.4433139305368894,0.235,0.133,1
NUDT9,0.012059847598665498,0.3121020501881463,0.526,0.361,1
LAMC2,0.012398868228574078,0.24540750701142677,0.447,0.3,1
IGFBP4,0.014604616307825544,0.20010334869057855,0.889,0.772,1
NUCB1,0.016769340810039737,0.23777809683424123,0.821,0.661,1
LNX1,0.017027155852846525,0.21316833963264847,0.425,0.283,1
TNFSF13,0.0171584388727692,0.22471809707303403,0.753,0.611,1
NUCB2,0.020509914959838886,0.24170995686813024,0.351,0.222,1
GALNT2,0.022242737870272984,0.2918792969761437,0.359,0.239,1
C19orf47,0.034915484348434236,0.20815434669999133,0.381,0.261,1
HTRA1,0.03842723149958897,0.23064786071564414,0.295,0.189,1
PPIC,0.06071211848884024,0.21577000046559164,0.625,0.472,1
HYOU1,0.09093209676200348,0.21022820674167925,0.771,0.617,1
